event_id,severity,source_location,observed,action,status,rationale
"O012-ADV-0259","P1","Notes.tex:3680","the quotient action side is unstated and each fibre is called isomorphic to H without recording a choice","state the right action g dot h equals gh and identify each fibre canonically as an H-torsor but only noncanonically as a copy of H","corrected_in_translation","fixes handedness and distinguishes intrinsic fibre structure from a chosen coordinate"
"O012-ADV-0260","P3","Notes.tex:3692","the stable-range condition omits the variable in assuming at least 3","state n at least 3","corrected_in_translation","restores the quantified range"
"O012-ADV-0261","P1","Notes.tex:3704","exactness is presented as canonically making the connecting map multiplication by positive 2 and the sentence duplicates a verb","state image delta equals 2Z and multiplication by plus or minus 2 until compatible generators and orientations are chosen","corrected_in_translation","separates the canonical subgroup conclusion from a convention-dependent sign"
"O012-ADV-0262","P3","Notes.tex:3714","whose story is a deterministic typo for whole story","translate the intended whole-story sentence","corrected_in_translation","repairs grammar only"
"O012-ADV-0263","P1","Notes.tex:3789-3793,3938","the face-count reconstruction and R to the S dimension language silently extends finite statements to infinite data","restrict the elementary Euler formula to finite polyhedra and distinguish the product of all functions R^S from the finite-support free module","corrected_in_translation","prevents undefined alternating cardinal arithmetic and a false infinite-dimensional dimension claim"
"O012-ADV-0264","P3","Notes.tex:3793","vertx is misspelled","translate the intended vertex term","corrected_in_translation","removes a deterministic spelling defect"
"O012-ADV-0265","P1","Notes.tex:3830","the displayed three-dimensional vector fields curl and divergence are declared for U contained in arbitrary R^n","require U to be an open subset of R^3 for the displayed complex","corrected_in_translation","restores the operator domains and codomains"
"O012-ADV-0266","P3","Notes.tex:3833","acomplex is missing a space","normalize the phrase in translation","corrected_in_translation","removes a deterministic spelling defect"
"O012-ADV-0267","P1","Notes.tex:3840-3851","the definition of a map of complexes ends after all the squares without stating the condition","require every square to commute and display the commutativity equation","corrected_in_translation","completes the mathematical definition"
"O012-ADV-0268","P2","Notes.tex:3853-3861","the matrix morphism omits the article and leaves the zero quotient identity and induced maps unlabeled","name every vertical map define the induced B-bar and verify each square","proof_completed_in_translation","makes the claimed morphism independently checkable"
"O012-ADV-0269","P1","Notes.tex:3874-3879","the unaugmented vector-calculus complex is called exact although constants form the kernel of its first gradient","state exactness only in positive degrees and display the augmented exact complex beginning with R","corrected_in_translation","restores exactness at the first function space"
"O012-ADV-0270","P2","Notes.tex:3880-3886","the prose can blur real de Rham cohomology with the integral homotopy group pi_2 of the sphere","state that the two distinct invariants detect related topology only qualitatively","clarified_in_translation","prevents an invalid identification of invariant types"
"O012-ADV-0271","P3","Notes.tex:3892","the image gradient omits of","translate the intended image of the gradient","corrected_in_translation","repairs grammar only"
"O012-ADV-0272","P1","Notes.tex:3905-3912","injectivity of the ordered endpoint pair is paraphrased as at most one edge between two vertices","state at most one edge per ordered pair while allowing oppositely directed edges","corrected_in_translation","matches the formal directed-graph definition"
"O012-ADV-0273","P3","Notes.tex:3680,3690,3717,3734-3744,3793,3802,3841,3874-3875,3889,3896-3898,3906-3907,3915-3927,3938,3757-3762,3844-3849,3855-3860,3865-3870","thirteen margins four Xy-pic diagrams and two TikZ figures rely on narrow or positional layout","move every margin into reading order and replace all six diagrams or figures with centered semantic object arrow label and direction inventories","accessibility_reflow","preserves all source information without dependence on margin width color or position"
"O012-ADV-0274","P2","Notes.tex:3767-3779","the sole source exercise and the two canonical slpc comparison claims lack complete proofs","construct slpc on morphisms prove functoriality and SLPC output and supply a full weak-equivalence plus homotopy-equivalence criterion","proof_completed_in_translation","closes the exact source exercise and the immediately used comparison lemma"
"O012-ADV-0275","P2","Notes.tex:3731-3751,3874-3898","Warsaw-circle and vector-calculus assertions rely on external results with source proofs absent or compressed","mark the Warsaw properties and global analytic inputs honestly as external while giving checkable scope and representative obstruction calculations","clarified_in_translation","avoids laundering black boxes into edition-authored proofs"
"O012-ADV-0276","P2","unit-019 draft:1247-1258","the first translation draft called gH a right coset although it is a left coset arising as an orbit of the right H-action","call gH a left coset and retain the separate right-action statement","corrected_after_independent_review","restores standard coset handedness and agrees with controlled terminology"
"O012-ADV-0277","P2","unit-019 draft:1230-1239","the first mastery solution proved the homogeneous-space map bijective but invoked rather than proved the topological conclusion","factor the continuous orbit map through the quotient and use compact-domain Hausdorff-codomain continuity","proof_completed_after_independent_review","closes the requested homeomorphism argument without circularly citing the target conclusion"
"O012-ADV-0278","P3","Notes.tex:3704; unit-019 draft:128-148,412-414,1519-1520","one substantive source sentence was omitted and three reader-facing externality or wording details needed normalization","restore the induced-map sentence mark the Hopf quotient identification external and normalize the Warsaw and Serat-serat wording","corrected_after_independent_review","preserves source completeness and natural readable Indonesian"
"O012-ADV-0279","P1","Notes.tex:3974-3981","the source matrix mixes row and column conventions and prints a kernel generator with the wrong sign","state the row and column convention use D transpose for column vectors and correct ker delta to Z(A+B+C) with the corresponding image","corrected_in_translation","the constant function is in the kernel and the transpose convention makes the graph calculation type-correct"
"O012-ADV-0280","P3","Notes.tex:4004","the displayed complex begins with 0\\mathbb Z^4 and omits a typed arrow","render 0 to \\mathbb Z^4 and state the face-map direction","corrected_in_translation","restores the chain-complex type without changing content"
"O012-ADV-0281","P1","Notes.tex:4040-4057","finite graph and Euler claims and the one-cycle conclusion are stated too broadly for products and general connected graphs","qualify finite and product hypotheses distinguish rank from vector-space dimension restrict the one-cycle claim and treat two cycles separately","clarified_in_translation","prevents invalid infinite-cardinality and rank conclusions"
"O012-ADV-0282","P1","Notes.tex:4228-4251","face-map indices and one composition in the proof of delta_1 delta_0 are mistyped or duplicated","type every face map and expand the six signed compositions to prove delta_1 delta_0 equals zero","proof_completed_in_translation","the corrected typed expansion makes the chain-complex identity independently checkable"
"O012-ADV-0283","P1","Notes.tex:4305","the Klein bottle face map repeats e_2 and yields a wrong Smith and cokernel calculation","set d_1^2(f_2)=e_3 retain d_2^2(f_2)=e_2 and recompute the Smith form and cokernel as Z/2","corrected_in_translation","the corrected incidence data produces the stated torsion cohomology"
"O012-ADV-0284","P1","Notes.tex:4273,4311-4340","the cohomology quotient denominator and induced functorial map are ill-typed or asserted without proof","define H^n as ker(d_n) modulo im(d_{n-1}) and prove well-defined identity and composition maps","proof_completed_in_translation","kernel and image live in the same graded module and functoriality is checkable"
"O012-ADV-0285","P3","Notes.tex:4040-4341","source prose and deterministic spelling grammar duplication punctuation and denominator defects remain in the active span","repair the recorded grammar spelling duplication punctuation and denominator wording in Indonesian while preserving source order","corrected_in_translation","removes source noise without altering mathematical content"
"O012-ADV-0286","P2","Notes.tex:3990-4278","seven TikZ figures and eleven margin notes depend on positional layout","replace each figure with centered semantic data and move each margin into reading order","accessibility_reflow","preserves every incidence label orientation and caveat for linear and assistive reading"
"O012-ADV-0287","P3","Notes.tex:4280-4340; terminology QA 2026-08-23","reader-facing isomorphism and homomorphism forms require same-field -morfisma normalization","use isomorfisma and homomorfisma consistently and retain isomorfisme only as a non-preferred variant","corrected_after_independent_review","aligns Unit 20 with the admitted Indonesian topology terminology controls"
"O012-ADV-0288","P1","Notes.tex:4228-4251; Unit20 reader lines 737,923","two proof closures were emitted as bare \\square$ delimiters; HTML tolerated them but pdflatex failed with Missing $ inserted","wrap both proof-end symbols as $\\square$ and add a fail-closed delimiter sanity gate","corrected_after_cumulative_pdf_gate","restores deterministic PDF build portability without changing the proof content"
"O012-ADV-0289","P1","Unit20 reader line 976; mastery hint 20.1","literal Unicode δ inside TeX math was rejected by the pdflatex engine","normalize $δ$ to $\\delta$ and retain the same mathematical symbol","corrected_after_cumulative_pdf_gate","makes the reader source portable across the validated HTML and PDF toolchains"
"O012-ADV-0290","P1","Notes.tex:4358-4360","the source says all integer-indexed cohomology groups are zero immediately after displaying three generally nonzero groups","restrict the zero claim to n below 0 or above 2 while retaining the separate X_2 empty conclusion","corrected_in_translation","preserves the intended truncated-complex convention without erasing degrees 0 through 2"
"O012-ADV-0291","P1","Notes.tex:4393-4400","the graph gluing relation uses an unbound vertex variable and does not type its endpoint data","replace the singleton variable by an explicit star and quantify e in X_1 and i in {0,1}","corrected_in_translation","makes both sides of the quotient relation well typed and keeps isolated vertices visible"
"O012-ADV-0292","P1","Notes.tex:4442-4444","the Delta^1 set builder omits a closing parenthesis and positive octant conflicts with the weak inequalities","restore the ordered-pair membership and call the region the nonnegative orthant","corrected_in_translation","the displayed simplex is syntactically valid and includes its boundary"
"O012-ADV-0293","P1","Notes.tex:4463-4467","the geometric-realisation quotient gives an untyped gluing relation","state x in X_n v in Delta^(n-1) 1<=n<=2 and 0<=i<=n","corrected_in_translation","proves that both related points lie in declared summands of the coproduct"
"O012-ADV-0294","P3","Notes.tex:4379,4403,4414,4451","the source contains deterministic punctuation spelling and grammar slips","repair the missing sentence break and the forms superceded how do so and imporantly in natural Indonesian","corrected_in_translation","removes source noise without changing its sequence or mathematical content"
"O012-ADV-0295","P2","Notes.tex:4393-4395,4429-4444,4470,4484","four margin notes and two TikZ panels depend on positional layout","move every margin note into reading order and replace the TikZ panels with centered semantic descriptions","accessibility_reflow","preserves endpoint conventions vertices sides ambient spaces and equations for linear and assistive reading"
"O012-ADV-0296","P2","Notes.tex:4482-4496","the triangulation notation leaves the homeomorphism type implicit and two geometric identifications are asserted without proof in the span","type the homeomorphism explicitly and mark the sphere and torus identifications as standard geometric facts cited but not proved here","clarified_in_translation","distinguishes source assertions from proved results while retaining all examples"
"O012-ADV-0297","P2","Unit21 mastery 21.1","the first mastery counterexample did not exclude the zero coefficient ring","require a nonzero coefficient ring and instantiate R as Z in the solution","corrected_after_independent_review","then H^0 and H^1 are genuinely nonzero and the logical counterexample is valid"
"O012-ADV-0298","P2","Notes.tex:4522-4523","the source calls Delta[2] to X an inclusion without choosing a 2-simplex or requiring distinct faces","define the canonical simplex-name map after choosing x in X_2 and reserve inclusion for injective cases","corrected_in_translation","a general combinatorial face may have identified edges or vertices"
"O012-ADV-0299","P1","Notes.tex:4537-4598","the infinite-cylinder picture carries essential indexed incidence data and the map to the torus alone does not reconstruct its chosen lifts","replace the picture by complete endpoint and face tables and mark the cylinder homeomorphism as a standard source assertion","corrected_in_translation","the periodic lift is now independently checkable and no topology depends on visual placement"
"O012-ADV-0300","P2","Notes.tex:4608-4632","the prequotient map has malformed assignment notation and functoriality checks only composition","type the disjoint-union map and quotient relation and verify both identities and composition","proof_completed_in_translation","the induced continuous map and functor laws now follow from the quotient universal property"
"O012-ADV-0301","P2","Notes.tex:4692-4701","defining infinite dimension merely by absence of a largest occupied degree also classifies the empty Delta-set as infinite-dimensional","require occupied degrees to be unbounded and treat the empty object separately","clarified_in_translation","distinguishes empty dimension from genuinely unbounded dimension"
"O012-ADV-0302","P2","Notes.tex:4703-4715","the general realisation relation and Delta-set map equation omit variable types or reuse unqualified face-map symbols","quantify x v n i and distinguish the X and Y face maps","corrected_in_translation","both quotient summands and both sides of the morphism equation are well typed"
"O012-ADV-0303","P1","Notes.tex:4764-4767","the canonical realisation map is indexed by disc(Delta[k]) instead of the k-simplices Delta[n]_k and is called an untyped isomorphism","define the coordinate insertion map for every ordered face S in Delta[n]_k and identify the induced homeomorphism","corrected_in_translation","the canonical triangulation map now has the declared source target and topology"
"O012-ADV-0304","P1","Notes.tex:4830-4845","the coboundary sum omits the final face and the proof that delta squared is zero is left only as Exercise","sum from i=0 through n+1 and give the complete pairwise-cancellation proof","proof_completed_in_translation","an (n+1)-simplex has n+2 faces and the corrected signs make consecutive differentials compose to zero"
"O012-ADV-0305","P2","Notes.tex:4858-4865","the cochain-functor proof is asserted as a direct computation without typed source and target differentials","expand the pullback calculation with X and Y face maps and verify contravariant identities and composition","proof_completed_in_translation","the resulting sequence map is a well-typed morphism of cohomologically graded complexes"
"O012-ADV-0306","P1","Notes.tex:4879-4880","finite generation of cohomology from finitely many n-simplices is false over an arbitrary non-Noetherian coefficient ring","add the Noetherian hypothesis and retain R^A as the product of all functions for infinite A","corrected_in_translation","kernels of maps from finite free modules are finitely generated under exactly the stated ring hypothesis"
"O012-ADV-0307","P3","Notes.tex:4899-4900","the change-of-coefficients paragraph calls the newly defined simplicial cochain complex singular","replace singular by simplicial while preserving the coefficient map","corrected_in_translation","keeps two distinct cochain constructions from being conflated"
"O012-ADV-0308","P1","Notes.tex:4911-4916","the claim that the integral-to-real kernel is exactly torsion and the image a lattice lacks a finiteness hypothesis","state the conclusion for finite Delta-sets and retain only the natural coefficient map in general","clarified_in_translation","finite free cochains and finitely generated cohomology justify flat base change and the lattice statement"
"O012-ADV-0309","P2","Notes.tex:4528-4529,4543-4594,4623-4630,4645-4647,4720-4730,4783-4815,4880","five margins two TikZ pictures and three Xy-pic relationships depend on positional layout","move all margins into reading order and replace every positional diagram by centered semantic incidence or commutativity data","accessibility_reflow","preserves all labels directions face tables and diagram equations for linear and assistive reading"
"O012-ADV-0310","P3","Notes.tex:4512,4529,4532,4598,4700,4747,4765,4815,4887,4890","the active source contains deterministic number agreement spelling and article errors","normalize the recorded prose defects in natural Indonesian without changing source order","corrected_in_translation","removes source noise while preserving mathematical content"
"O012-ADV-0311","P2","Unit22 mastery hint 22.6","the draft called an additive group characteristic p and misspelled the Indonesian term","state instead that the additive group of an F_p vector space is annihilated by p","corrected_after_independent_review","uses the exact group-theoretic fact needed for the Bezout argument without imprecise terminology"
"O012-ADV-0312","P1","Notes.tex:4943-4951","the prose shifts degree-n cochains from R^{X_n} to R^{X_(n+1)} although evaluation is at x in X_n","retain degree n and define evaluation at x as the map from C^n(X;R)=R^{X_n} to R","corrected_in_translation","restores the domain shown by the source diagram and makes evaluation type-correct"
"O012-ADV-0313","P1","Notes.tex:4954-4956","the source identifies the entire cochain complex C^bullet(X;R) with its degree-zero module R^{X_0}","state the induced cochain morphism to C^bullet(Delta[0];R) and identify only its degree-zero component with evaluation R^{X_0} to R","corrected_in_translation","distinguishes a graded complex from one of its terms"
"O012-ADV-0314","P2","Notes.tex:4958-4959","functoriality of pointed cohomology is stated without its contravariant direction","state that a basepoint-preserving map X to Y induces an augmentation-preserving map H^0(Y;R) to H^0(X;R)","corrected_in_translation","preserves the already established contravariance of simplicial cochains"
"O012-ADV-0315","P1","Notes.tex:4974-4975","the natural function-module decomposition repeats R^Q in both summands","replace the codomain by R^P direct-sum R^Q","corrected_in_translation","restriction to the P and Q summands gives the correctly typed natural isomorphism"
"O012-ADV-0316","P2","Notes.tex:5002-5006","the cohomology display contains malformed H^( notation and the infinite-family margin compresses the direct-sum versus product distinction","restore H^n and state separately that arbitrary disjoint unions give products of cochain complexes whose cohomology is computed coordinatewise in R-Mod under ordinary ZFC","clarified_in_translation","keeps the finite binary formula correct while making the infinite extension checkable"
"O012-ADV-0317","P1","Notes.tex:5023-5024","the stated simplex census for the boundary of Delta[3] includes the full four-element subset and hence the missing 3-simplex","use the nonempty proper subsets of {0,1,2,3}, equivalently degrees n=0,1,2 only","corrected_in_translation","restores the boundary rather than the entire standard 3-simplex"
"O012-ADV-0318","P2","Notes.tex:5042-5061","exactness of the restriction-difference sequence and compatibility with coboundaries are left as a short exercise","prove injectivity by degreewise covering, identify the kernel by gluing agreeing functions, prove surjectivity by zero extension, and verify both maps commute with coboundaries","proof_completed_in_translation","establishes the claimed short exact sequence of complexes rather than only a degreewise sequence"
"O012-ADV-0319","P1","Notes.tex:5078-5087,5111","the chosen sub-Delta-set changes notation from A to Y inside the same example","use A consistently in the pair, quotient notation, cohomology, and source-continuation marker","corrected_in_translation","prevents an undeclared second subobject from entering the construction"
"O012-ADV-0320","P1","Notes.tex:5089-5109","the quotient is assigned a canonical basepoint without assuming the collapsed subset nonempty and the relation between reduced functions and ker(i^*) is only informal","for nonempty A define the basepoint [A] and prove that q^* restricts to an isomorphism ker(ev_[A]) to ker(i^*); treat A empty separately and qualify the all-functions sequence for a nonzero ring","proof_completed_in_translation","states the exact hypotheses and identifies reduced quotient functions without calling all functions on X/A reduced"
"O012-ADV-0321","P2","Notes.tex:4944-4947,5045-5048,4952-4953,4974,5002,5033,5036,5078-5079","two Xy-pic diagrams and six margin notes depend on positional layout","replace diagrams with centered semantic arrow data and prose and move every margin note into reading order","accessibility_reflow","preserves all maps, indices, incidence data, and qualifications for linear and assistive reading"
"O012-ADV-0322","P3","Notes.tex:4941,4952-4953,4987,5002,5013,5050,5057","the span contains deterministic punctuation, spelling, article-agreement, and duplicated-phrase defects","normalize the intended wording in natural Indonesian without changing mathematical order or meaning","corrected_in_translation","removes source noise while preserving its mathematical content"
"O012-ADV-0323","P2","Notes.tex:5113-5120","surjectivity and exactness of the restriction sequence are asserted only by analogy and degreewise zero extension could be mistaken for a cochain-map splitting","prove restriction is a degreewise-surjective cochain map identify its differential-stable kernel and give an explicit counterexample showing zero extension need not split complexes","proof_completed_in_translation","establishes the short exact sequence of complexes while preventing an invalid natural splitting claim"
"O012-ADV-0324","P2","Notes.tex:5125-5129","the degreewise-kernel lemma has no proof and does not type the restricted differential","define the restricted differential prove it lands in the next kernel and prove its square is zero","proof_completed_in_translation","makes the kernel complex construction fully checkable"
"O012-ADV-0325","P1","Notes.tex:5173","the algebraic Mayer--Vietoris display omits H^{k+1} from the B-complex term","restore H^{k+1}(B_bullet) and preserve the induced-map direction","corrected_in_translation","repairs the type of the long exact cohomology sequence"
"O012-ADV-0326","P1","Notes.tex:5186-5189","the lower-right object of the Snake Lemma diagram is written C instead of C prime","replace it with C prime and type every vertical and induced kernel/cokernel map","corrected_in_translation","restores the codomain of gamma and the exact lower row"
"O012-ADV-0327","P1","Notes.tex:5247-5311","the Snake Lemma proof explicitly omits linearity and three of six exactness obligations and contains deterministic a_b versus a'_b notation slips","supply a complete well-defined R-linear connector proof all six exactness positions and consistent primed representatives","proof_completed_in_translation","closes every obligation needed for the stated exact sequence"
"O012-ADV-0328","P1","Notes.tex:5332-5334","the proof of the setup lemma consists only of Exercise for now","prove both rows exact prove the quotient-to-kernel maps well defined and verify commutativity","proof_completed_in_translation","justifies applying the Snake Lemma to the cochain-complex diagram"
"O012-ADV-0329","P1","Notes.tex:5338-5354","the theorem proof leaves both cohomological identifications and the splicing step as exercises and has a missing parenthesis in the image formula","prove the kernel/cokernel identifications repair the formula identify all induced maps and splice consecutive six-term sequences","proof_completed_in_translation","derives the claimed long exact sequence rather than only isolated six-term fragments"
"O012-ADV-0330","P2","Notes.tex:5357-5367","the naturality paragraph initially describes an unspecified map between complexes and does not check the connecting square","state a morphism of long exact sequences and verify naturality of the connecting map by compatible lifts","clarified_in_translation","makes the functorial conclusion and its decisive commutative square explicit"
"O012-ADV-0331","P2","Notes.tex:5148-5162,5166,5179,5186-5244,5323-5327,5340,5348-5352,5360","seven margin notes two Xy-pic diagrams and one TikZ snake route depend on positional layout color or geometry","move every margin note into reading order and replace all three diagrams with centered semantic arrow data and explanatory prose","accessibility_reflow","preserves every module map label incidence relation and ancillary aside for linear and assistive reading"
"O012-ADV-0332","P1","Notes.tex:5383-5395","the displayed top-skeleton relative complex starts at degree one even though the claim includes degree zero","restore the full range from C^0 through C^n and prove directly that every degree below n vanishes while degree n is R^{X_n}","corrected_in_translation","restores the omitted degree-zero term and makes the claimed relative-cohomology computation complete"
"O012-ADV-0333","P2","Notes.tex:5398-5402","skeleton stability of H^k is asserted as immediate without checking the two adjacent differentials","prove that k<n implies k+1<=n so the three cochain groups and both differentials determining H^k agree","proof_completed_in_translation","closes the exact degree-range obligation including degree zero"
"O012-ADV-0334","P1","Notes.tex:5408-5419","the relative long exact sequence is stated without proof and encoded as a positional zig-zag diagram","derive the connector from the Unit 24 short exact sequence prove independence linearity exactness and naturality and reflow the sequence semantically","proof_completed_in_translation","supplies every construction and exactness obligation without dependence on Xy-pic geometry"
"O012-ADV-0335","P1","Notes.tex:5449","restriction to the chosen point x_0 is labelled pr_2 despite the written coordinate order (x_0,x_1)","replace the ambiguous label by rho_{x_0}(a_0,a_1)=a_0 and display its kernel","corrected_in_translation","makes the restriction map and relative degree-zero module type-correct"
"O012-ADV-0336","P2","Notes.tex:5556-5557","the forward recurrence is said to define g on every nonzero integer but does not define negative indices","supply both forward and backward recursions and verify g(n+1)-g(n)=h(n) for all integers","clarified_in_translation","completes the surjectivity argument for the infinite-line coboundary"
"O012-ADV-0337","P1","Notes.tex:5526-5530","the Five Lemma proof types b prime in B rather than B prime and leaves the entire injectivity half as an exercise","correct the element type and supply the complete injectivity chase with each hypothesis identified","proof_completed_in_translation","establishes the asserted isomorphism rather than only its surjective half"
"O012-ADV-0338","P1","Notes.tex:5574-5593","the Euler proof places im(delta_d) in the wrong cochain group and later writes dim(delta_d) and |X_bullet|","replace the ill-typed splitting by rank-nullity identities use dim im(delta_d) and |X_d| and show cancellation by an explicit index shift","corrected_in_translation","repairs every type and index needed for equality of the two Euler characteristics"
"O012-ADV-0339","P1","Notes.tex:5608","the closing finite-complex identity omits the exponent on the left sign and both dimension and the exponent on the right","restore sum (-1)^d dim V_d = sum (-1)^d dim H^d(V) with matching bounds","corrected_in_translation","returns a well-typed alternating-dimension identity"
"O012-ADV-0340","P2","Notes.tex:5388,5406,5411-5417,5423-5424,5436,5468,5501,5507-5510,5535,5542","eight margin notes and two Xy-pic diagrams depend on positional layout and non-linear reading order","move every margin into ordinary reading order and replace both diagrams by explicit sequence object arrow and commutativity data","accessibility_reflow","preserves all mathematical and ancillary content in a reflowable assistive-readable form"
"O012-ADV-0341","P3","unit-025-lecture-025.md:56 (pre-admission draft)","the initial reader draft used simplicial where the admitted lane term O012-TERM-0312 requires simpleksial","replace only simplicial with simpleksial before admission and bind the corrected reader identity in review and QA","resolved_before_admission","records the independent-review terminology finding transparently while preserving the admitted relative-cochain convention"
"O012-ADV-0342","P2","Notes.tex:5620-5633","the source margin permits interior smoothness plus continuous boundary extension although that does not by itself meet the hypotheses needed for the displayed Stokes identity","require the simplex map to be smooth up to the boundary for the displayed identity while preserving the weaker source convention as a labelled note","hypothesis_repaired_in_translation","states the exact regularity used by Stokes's theorem"
"O012-ADV-0343","P2","Notes.tex:5638-5650","the singular-cochain construction omits the proof that the coboundary squares to zero and leaves the induced contravariant map incompletely typed","supply face cancellation and type postcomposition pullback and its compatibility with coboundaries explicitly","proof_completed_in_translation","makes the complex and its variance independently checkable"
"O012-ADV-0344","P3","Notes.tex:5651-5673","the alternating point differential and the later reason for interval-cohomology vanishing are compressed","display the alternating zero and identity maps and defer interval vanishing explicitly to contractibility","clarified_in_translation","prevents the size example from reading as an unsupported direct computation"
"O012-ADV-0345","P1","Notes.tex:5674-5694","the long-exact-sequence proof omits degreewise surjectivity the connecting morphism and naturality","prove extension by zero degreewise construct the connecting map and verify exactness and naturality","proof_completed_in_translation","closes every obligation in the claimed long exact sequence of a pair"
"O012-ADV-0346","P1","Notes.tex:5695-5713","the degree-one reduced-cohomology discussion leaves the connecting image unresolved and states the relative-to-ordinary isomorphism only above degree one","use constant zero-cocycles to prove surjectivity in degree zero and hence the isomorphism for every degree at least one","corrected_in_translation","exactness determines the omitted degree-one case"
"O012-ADV-0347","P2","Notes.tex:5720-5722 (margin)","pointed functoriality is left as a margin exercise","state and prove it using maps of pairs and contravariant relative cohomology","proof_completed_in_translation","a structural property is no longer hidden or unproved"
"O012-ADV-0348","P1","Notes.tex:5728-5750","two relative-cochain delimiters are mistyped and the coproduct decomposition suppresses connectedness of the standard simplex","restore the semicolons and prove the decomposition from connectedness of every standard simplex","corrected_in_translation","repairs the formulas and exposes the necessary topological premise"
"O012-ADV-0349","P1","Notes.tex:5763-5771","the contractible-space corollary writes an ungraded H^k isomorphic to R after treating positive degrees","restore the intended typed assertion H^0(X;R) isomorphic to R","corrected_in_translation","makes the cohomology calculation degree-correct"
"O012-ADV-0350","P2","Notes.tex:5754-5787","three consequences of homotopy invariance are stated without complete proofs","supply the contravariant induced-map compositions and the path argument for equality of basepoint evaluations","proof_completed_in_translation","gives each corollary complete inferential closure"
"O012-ADV-0351","P1","Notes.tex:5790-5803","the cochain-homotopy proof changes the cocycle variable from c to x in its final term","restore c and show explicitly that the remaining expression is a coboundary","corrected_in_translation","keeps the proof type- and variable-consistent"
"O012-ADV-0352","P1","Notes.tex:5805-5823","the homotopy-invariance theorem ends with a prism-triangulation sketch and omits the required combinatorial verification","construct the signed prism operator prove the boundary identity by face cancellation and dualize with the correct sign","proof_completed_in_translation","the principal theorem no longer rests on an omitted proof"
"O012-ADV-0353","P2","Notes.tex:5620-5624,5668-5669,5720-5722","three margins interrupt or hide required reading including an unproved exercise","reflow every margin into reading order and close the exercise in the main text","accessibility_reflow","preserves all source content in a linear assistive-readable form"
"O012-ADV-0354","P3","unit-026-lecture-026.md pre-admission draft","the initial draft used the recognized but nonpreferred variants funktor and funktorialitas","normalize every occurrence to fungtor and fungtorialitas before admission","resolved_before_admission","follows O012-TERM-0004 O012-TERM-0072 and O012-TERM-0297 consistently"
"O012-ADV-0355","P2","Notes.tex:5825-5829","the formal source exercise identifying degree-zero cohomology with functions on path components has no solution","supply the complete cocycle coboundary and fungtoriality argument","solution_completed_in_translation","turns the preserved prompt into a usable self-study item"
"O012-ADV-0356","P1","Notes.tex:5830-5833","the composite from a point back to a point is incorrectly typed as the identity on X","restore the identity on the one-point space and derive the split injection contravariantly","corrected_in_translation","makes every domain and codomain agree"
"O012-ADV-0357","P2","Notes.tex:5834-5842","the direct-sum consequence of a left splitting is stated without proof","construct the isomorphism and inverse including the restriction to the kernel","proof_completed_in_translation","justifies the cokernel and kernel models"
"O012-ADV-0358","P2","Notes.tex:5843-5844 (margin)","the basepoint-independence qualification is isolated in a positional margin","move it into reading order while preserving the canonical-cokernel versus chosen-kernel distinction","accessibility_reflow","keeps essential interpretation available to linear reading"
"O012-ADV-0359","P1","Notes.tex:5845-5850","an all-degree phrase ambiguously modifies a degree-zero reduced group","restrict the path-connected assertion to degree zero and state contractible all-degree vanishing separately","corrected_in_translation","makes the degree scope explicit"
"O012-ADV-0360","P2","Notes.tex:5855-5865","the pushout is encoded by position-dependent Xy-pic layout","replace it with semantic arrow data commutativity and the universal property","accessibility_reflow","preserves the full pushout in responsive and assistive reading"
"O012-ADV-0361","P1","Notes.tex:5867-5880","the claimed zero-extension small-cochain subcomplex is not differential-stable and its comparison arrow is reversed","define small cochains as the dual of the small-chain subcomplex and restrict from all cochains","corrected_in_translation","restores a valid complex and the contravariant comparison direction"
"O012-ADV-0362","P1","Notes.tex:5874-5880","the small-chain comparison relies on an external citation without closing the proof","supply barycentric subdivision the prism homotopy the Lebesgue-number step and an inductive inverse","proof_completed_in_translation","proves the quasi-isomorphism internally for every coefficient ring"
"O012-ADV-0363","P1","Notes.tex:5881-5908","the Mayer--Vietoris connector and exactness are abbreviated and the reduced sequence suppresses a nonempty-intersection hypothesis","construct the connector prove every recurring image-equals-kernel position and state the hypothesis","proof_completed_in_translation","establishes the complete typed long exact sequence"
"O012-ADV-0364","P2","Notes.tex:5909-5923","the sphere calculation compresses the recurrence and omits parts of the all-degree conclusion","state the hemispherical cover suspension recurrence base case and full induction","proof_completed_in_translation","accounts for every cohomology degree of every sfera"
"O012-ADV-0365","P3","Notes.tex:5910-5923","minor prose a dangling comma closed-disc wording and negative horizontal spacing obscure the calculation","normalize the prose use open hemispherical neighborhoods and reflow the sequence","clarified_in_translation","preserves the mathematics while improving correctness and readability"
"O012-ADV-0366","P2","unit-027-lecture-027.md:481 (pre-admission draft)","the cochain-comparison formula lost the TeX command marker on its arrow","restore the mathematical long arrow with the same objects and direction","resolved_before_admission","the final formula renders and types correctly"
"O012-ADV-0367","P2","unit-027-lecture-027.md:369-373 (pre-admission draft)","the semantic pushout array used arrow syntax rejected by fatal native-MathML conversion","use an equivalent MathML-convertible semantic array","resolved_before_admission","preserves the full diagram without runtime fallback"
"O012-ADV-0368","P2","unit-027-lecture-027.md:693-715 (pre-admission draft)","the connector was constructed but exactness at recurring term types was asserted rather than proved","add explicit lift and adjustment arguments in both directions","resolved_before_admission","demonstrates every image-equals-kernel claim"
